,gene,length,sp,tmd,first_hydrophic_start,first_hydrophobic_end
2,YAL042W,415,False,True,25.0,45.0
4,YAL007C,215,True,True,1.0,25.0
5,YAR027W,235,False,True,51.0,68.0
6,YAR028W,234,False,True,51.0,68.0
7,YAR033W,234,False,True,51.0,68.0
8,YBL089W,459,False,True,8.0,28.0
9,YBL082C,458,False,True,45.0,60.0
10,YBL040C,219,False,True,3.0,20.0
11,YBR004C,433,False,True,7.0,22.0
12,YBR005W,213,True,True,1.0,17.0
13,YBR014C,203,True,False,1.0,28.0
14,YBR040W,298,False,True,17.0,37.0
16,YBR042C,397,False,True,13.0,24.0
17,YBR054W,344,True,True,1.0,10.0
21,YBR106W,188,False,True,5.0,18.0
22,YBR110W,449,False,True,9.0,27.0
24,YBR161W,376,False,True,7.0,27.0
25,YBR171W,206,False,True,32.0,48.0
27,YBR199W,464,True,False,1.0,32.0
28,YBR201W,211,False,True,18.0,32.0
29,YBR207W,465,False,True,9.0,29.0
30,YBR220C,560,False,True,19.0,28.0
31,YBR241C,488,False,True,24.0,45.0
32,YBR243C,448,False,True,4.0,15.0
34,YBR283C,490,False,True,35.0,53.0
35,YBR287W,427,False,True,10.0,30.0
36,YBR296C,574,False,True,15.0,26.0
38,YCL069W,458,False,True,2.0,25.0
42,YCL002C,263,False,True,2.0,19.0
43,YCR007C,239,False,True,55.0,72.0
44,YCR017C,953,False,True,11.0,32.0
45,YCR021C,332,False,True,33.0,55.0
46,YCR023C,611,False,True,20.0,38.0
49,YCR028C,512,False,True,35.0,55.0
50,YCR068W,520,True,False,1.0,34.0
51,YCR075C,260,False,True,4.0,20.0
52,YCR094W,391,False,True,45.0,65.0
53,YCR098C,518,False,True,48.0,68.0
54,YDL245C,567,False,True,59.0,83.0
56,YDL222C,309,False,True,9.0,29.0
57,YDL218W,317,False,True,11.0,31.0
58,YDL206W,762,False,True,7.0,22.0
59,YDL204W,393,False,True,42.0,56.0
60,YDL180W,547,False,True,22.0,45.0
61,YDL128W,411,False,True,34.0,54.0
62,YDL123W,140,False,True,13.0,29.0
63,YDL121C,149,False,True,3.0,23.0
64,YDL095W,817,False,True,51.0,65.0
65,YDL093W,743,False,True,47.0,61.0
66,YDL072C,203,False,True,4.0,24.0
68,YDL054C,486,False,True,33.0,48.0
69,YDL035C,961,False,True,57.0,77.0
70,YDL010W,231,True,False,1.0,29.0
71,YDR003W,210,True,True,1.0,14.0
72,YDR018C,396,False,True,27.0,36.0
73,YDR033W,320,True,True,1.0,10.0
75,YDR072C,527,False,True,25.0,45.0
76,YDR084C,199,False,True,24.0,37.0
77,YDR090C,310,False,True,7.0,27.0
78,YDR100W,143,False,True,11.0,31.0
79,YDR105C,473,False,True,40.0,60.0
80,YDR126W,336,False,True,5.0,23.0
81,YDR135C,1515,False,True,32.0,54.0
82,YDR182W,491,False,True,44.0,64.0
83,YDR205W,724,False,True,13.0,22.0
84,YDR233C,295,False,True,32.0,46.0
87,YDR284C,289,False,True,19.0,38.0
88,YDR297W,349,False,True,50.0,70.0
89,YDR307W,662,False,True,32.0,47.0
92,YDR352W,317,False,True,11.0,28.0
94,YDR367W,221,False,True,24.0,44.0
95,YDR371W,511,False,True,14.0,34.0
96,YDR387C,555,False,True,44.0,64.0
97,YDR410C,239,False,True,25.0,42.0
98,YDR411C,341,False,True,37.0,50.0
99,YDR414C,362,False,True,25.0,39.0
100,YDR434W,534,False,True,9.0,27.0
101,YDR437W,140,False,True,12.0,27.0
102,YDR452W,674,False,True,22.0,42.0
103,YDR456W,633,True,True,1.0,18.0
104,YDR459C,374,False,True,15.0,32.0
105,YDR481C,566,False,True,34.0,54.0
106,YDR503C,274,False,True,19.0,39.0
108,YDR525W-A,79,False,True,7.0,22.0
109,YEL069C,564,False,True,55.0,80.0
110,YEL042W,518,False,True,10.0,25.0
113,YEL027W,160,False,True,11.0,31.0
115,YEL016C,493,False,True,29.0,46.0
116,YEL004W,342,False,True,7.0,22.0
117,YER001W,762,False,True,19.0,33.0
118,YER039C,249,True,True,1.0,12.0
120,YER044C,148,False,True,24.0,33.0
122,YER072W,129,False,True,33.0,53.0
123,YER074W-A,85,False,True,9.0,20.0
124,YER113C,706,True,True,1.0,33.0
125,YER118C,367,False,True,33.0,53.0
126,YER119C,448,False,True,8.0,28.0
127,YER145C,404,False,True,11.0,29.0
128,YER185W,303,False,True,18.0,41.0
129,YFL067W,175,True,False,1.0,17.0
130,YFL062W,379,False,True,47.0,57.0
131,YFL055W,558,False,True,60.0,78.0
132,YFL025C,1029,False,True,57.0,74.0
133,YFL011W,546,False,True,49.0,74.0
135,YFR012W,202,False,True,7.0,27.0
138,YFR042W,200,False,True,13.0,33.0
139,YGL263W,380,False,True,47.0,60.0
140,YGL257C,558,False,True,7.0,20.0
141,YGL255W,376,False,True,51.0,70.0
142,YGL247W,197,False,True,53.0,74.0
144,YGL225W,337,False,True,17.0,37.0
147,YGL160W,570,False,True,23.0,44.0
148,YGL146C,311,True,True,1.0,50.0
149,YGL142C,616,False,True,17.0,32.0
150,YGL140C,1219,False,True,33.0,44.0
151,YGL126W,380,False,True,5.0,25.0
152,YGL114W,725,False,True,29.0,44.0
153,YGL084C,560,False,True,44.0,61.0
154,YGL053W,237,False,True,51.0,68.0
155,YGL051W,234,False,True,51.0,68.0
157,YGL038C,480,False,True,17.0,30.0
158,YGL022W,718,False,True,15.0,30.0
159,YGL020C,235,False,True,3.0,18.0
160,YGL012W,473,False,True,44.0,64.0
161,YGL010W,174,False,True,26.0,43.0
162,YGR016W,190,False,True,56.0,76.0
163,YGR026W,278,False,True,31.0,55.0
164,YGR036C,239,False,True,32.0,54.0
165,YGR049W,187,False,True,11.0,20.0
166,YGR060W,309,False,True,52.0,76.0
170,YGR121C,492,False,True,20.0,43.0
171,YGR131W,174,False,True,8.0,28.0
172,YGR141W,467,True,False,1.0,31.0
173,YGR157W,869,False,True,58.0,76.0
175,YGR213C,317,False,True,15.0,38.0
176,YGR221C,622,True,True,1.0,15.0
177,YGR227W,525,False,True,44.0,58.0
179,YGR295C,381,False,True,48.0,57.0
180,YHL044W,235,False,True,45.0,65.0
182,YHL035C,1592,False,True,28.0,46.0
183,YHL026C,315,False,True,23.0,44.0
184,YHL016C,735,False,True,15.0,35.0
185,YHL008C,627,False,True,32.0,53.0
189,YHR026W,213,False,True,15.0,35.0
190,YHR028C,818,False,True,27.0,45.0
192,YHR042W,691,False,True,10.0,24.0
193,YHR045W,560,False,True,5.0,20.0
194,YHR123W,391,False,True,50.0,68.0
195,YHR138C,114,True,False,1.0,19.0
196,YHR140W,239,False,True,10.0,27.0
197,YHR181W,228,False,True,9.0,29.0
198,YHR192W,278,False,True,54.0,71.0
199,YHR211W,1075,True,False,1.0,24.0
201,YIL158W,204,False,True,6.0,26.0
202,YIL147C,1220,False,True,25.0,40.0
204,YIL102C-A,75,False,True,4.0,17.0
205,YIL088C,490,False,True,10.0,30.0
206,YIL085C,517,False,True,23.0,38.0
207,YIL049W,253,False,True,15.0,30.0
210,YIL040W,138,False,True,40.0,58.0
211,YIL039W,473,False,True,9.0,26.0
212,YIL037C,656,False,True,23.0,43.0
213,YIL027C,141,False,True,7.0,21.0
214,YIL023C,346,True,True,1.0,19.0
216,YIR014W,242,False,True,36.0,45.0
219,YJL186W,586,False,True,10.0,24.0
220,YJL183W,422,False,True,37.0,51.0
221,YJL172W,576,False,True,20.0,40.0
222,YJL170C,209,False,True,50.0,59.0
223,YJL151C,133,False,True,22.0,38.0
224,YJL139C,428,True,False,1.0,25.0
226,YJL097W,217,False,True,11.0,31.0
227,YJL094C,873,False,True,24.0,44.0
228,YJL091C,490,False,True,20.0,40.0
229,YJL077C,131,False,True,37.0,54.0
230,YJL062W,830,False,True,5.0,25.0
231,YJL059W,408,False,True,11.0,27.0
232,YJL051W,822,False,True,15.0,35.0
233,YJL038C,219,True,False,1.0,17.0
234,YJL034W,682,True,False,1.0,42.0
236,YJL004C,203,False,True,34.0,53.0
239,YJR013W,403,False,True,8.0,23.0
240,YJR044C,140,False,True,12.0,29.0
241,YJR054W,497,False,True,35.0,57.0
242,YJR106W,725,False,True,21.0,42.0
243,YJR112W-A,109,False,True,24.0,38.0
244,YJR116W,279,False,True,36.0,51.0
245,YJR117W,453,False,True,17.0,35.0
246,YJR124C,448,False,True,21.0,41.0
247,YJR131W,549,True,False,1.0,24.0
248,YJR143C,762,False,True,54.0,68.0
249,YJR158W,567,False,True,59.0,83.0
250,YJR161C,383,False,True,47.0,57.0
251,YKL221W,473,False,True,43.0,63.0
252,YKL209C,1290,False,True,26.0,46.0
253,YKL207W,253,False,True,9.0,25.0
254,YKL201C,1178,False,True,28.0,44.0
256,YKL175W,503,False,True,8.0,28.0
257,YKL165C,919,False,True,7.0,27.0
260,YKL124W,579,False,True,47.0,67.0
263,YKL065C,206,False,True,3.0,23.0
264,YKL063C,167,False,True,37.0,54.0
265,YKL051W,353,False,True,11.0,33.0
266,YKL034W,758,False,True,8.0,19.0
268,YKL004W,401,False,True,42.0,61.0
269,YKR044W,443,True,True,1.0,28.0
270,YKR050W,889,False,True,53.0,73.0
271,YKR051W,418,False,True,9.0,29.0
273,YKR100C,355,False,True,7.0,27.0
274,YKR103W,1218,False,True,28.0,45.0
275,YKR105C,582,False,True,40.0,60.0
277,YLL055W,531,False,True,59.0,79.0
278,YLL053C,152,False,True,2.0,19.0
279,YLL048C,1661,False,True,30.0,50.0
280,YLL031C,1017,False,True,34.0,54.0
281,YLL023C,279,False,True,34.0,51.0
282,YLL015W,1559,False,True,30.0,50.0
283,YLL014W,108,False,True,24.0,44.0
285,YLL005C,868,False,True,35.0,56.0
287,YLR034C,473,False,True,14.0,29.0
288,YLR036C,203,False,True,27.0,42.0
289,YLR046C,270,False,True,37.0,57.0
290,YLR047C,686,False,True,36.0,56.0
291,YLR050C,161,False,True,10.0,30.0
292,YLR065C,181,False,True,23.0,38.0
293,YLR066W,184,False,True,15.0,28.0
294,YLR087C,2958,False,True,21.0,41.0
295,YLR088W,614,False,True,20.0,41.0
296,YLR104W,131,True,False,1.0,24.0
297,YLR130C,422,False,True,28.0,47.0
298,YLR138W,985,False,True,13.0,33.0
299,YLR152C,576,False,True,9.0,29.0
301,YLR173W,608,False,True,54.0,72.0
302,YLR241W,782,False,True,37.0,54.0
304,YLR299W,660,True,False,1.0,32.0
306,YLR378C,480,False,True,34.0,54.0
307,YLR404W,285,False,True,17.0,37.0
308,YLR411W,241,False,True,45.0,65.0
309,YLR413W,675,False,True,5.0,27.0
310,YLR414C,263,False,True,7.0,27.0
311,YLR443W,448,False,True,23.0,45.0
312,YLR450W,1045,False,True,26.0,46.0
313,YML132W,379,False,True,48.0,57.0
314,YML125C,312,False,True,19.0,36.0
316,YML101C,117,False,True,6.0,20.0
317,YML087C,312,False,True,16.0,35.0
318,YML075C,1054,False,True,27.0,45.0
319,YML067C,352,False,True,24.0,43.0
320,YML066C,369,True,True,1.0,24.0
321,YML055W,178,False,True,43.0,59.0
322,YML052W,302,False,True,11.0,29.0
323,YML047C,352,False,True,30.0,52.0
324,YML031W,655,False,True,31.0,51.0
325,YML018C,393,False,True,15.0,38.0
326,YMR011W,541,False,True,56.0,78.0
327,YMR015C,538,False,True,48.0,59.0
328,YMR034C,434,False,True,19.0,39.0
329,YMR040W,160,False,True,5.0,24.0
330,YMR058W,636,True,True,1.0,21.0
331,YMR063W,239,False,True,4.0,24.0
332,YMR071C,167,False,True,26.0,47.0
333,YMR088C,562,False,True,38.0,60.0
334,YMR123W,122,False,True,21.0,41.0
335,YMR126C,342,False,True,14.0,32.0
336,YMR134W,237,False,True,32.0,52.0
337,YMR148W,148,False,True,7.0,28.0
338,YMR171C,550,True,True,1.0,17.0
339,YMR202W,222,True,False,1.0,20.0
341,YMR221C,504,False,True,10.0,30.0
342,YMR243C,442,False,True,10.0,30.0
344,YMR264W,203,False,True,6.0,19.0
345,YMR266W,953,False,True,23.0,44.0
346,YMR274C,315,False,True,4.0,19.0
348,YMR292W,138,False,True,9.0,29.0
349,YMR296C,558,False,True,57.0,72.0
350,YMR298W,150,False,True,23.0,37.0
351,YNL326C,336,False,True,7.0,28.0
352,YNL280C,438,False,True,14.0,34.0
353,YNL279W,661,False,True,24.0,44.0
355,YNL194C,301,False,True,6.0,28.0
356,YNL149C,129,False,True,21.0,41.0
358,YNL142W,499,False,True,34.0,56.0
359,YNL130C,393,False,True,50.0,68.0
360,YNL095C,642,False,True,10.0,30.0
362,YNL029C,522,False,True,22.0,37.0
363,YNR021W,404,False,True,45.0,62.0
364,YNR048W,393,False,True,47.0,67.0
365,YNR056C,561,False,True,50.0,72.0
366,YNR059W,580,False,True,11.0,26.0
367,YNR061C,219,False,True,13.0,33.0
368,YNR062C,327,False,True,19.0,35.0
369,YNR072W,564,False,True,55.0,80.0
370,YOL163W,169,False,True,2.0,11.0
371,YOL162W,215,True,True,1.0,10.0
372,YOL152W,620,False,True,46.0,66.0
373,YOL129W,184,False,True,25.0,45.0
374,YOL092W,308,False,True,15.0,30.0
375,YOL084W,991,False,True,10.0,30.0
376,YOL073C,322,False,True,17.0,32.0
377,YOL060C,706,True,True,1.0,33.0
378,YOL019W,551,False,True,7.0,28.0
379,YOL013C,551,False,True,9.0,30.0
380,YOL003C,378,False,True,10.0,31.0
381,YOR002W,544,False,True,40.0,55.0
383,YOR016C,207,True,True,1.0,19.0
387,YOR049C,354,False,True,5.0,28.0
388,YOR067C,577,False,True,45.0,60.0
389,YOR079C,313,False,True,6.0,26.0
390,YOR092W,613,False,True,10.0,30.0
391,YOR097C,175,True,True,1.0,47.0
392,YOR103C,130,False,True,46.0,68.0
393,YOR104W,282,True,True,1.0,15.0
394,YOR149C,516,False,True,6.0,18.0
395,YOR154W,587,True,True,1.0,21.0
396,YOR254C,663,False,True,14.0,41.0
397,YOR292C,309,False,True,53.0,72.0
398,YOR298W,479,False,True,33.0,42.0
399,YOR316C,439,False,True,10.0,30.0
400,YOR320C,491,False,True,12.0,25.0
401,YOR389W,624,True,False,1.0,29.0
402,YOR390W,375,False,True,16.0,36.0
403,YPL279C,375,False,True,16.0,36.0
404,YPL277C,487,True,False,1.0,26.0
405,YPL264C,353,False,True,15.0,32.0
406,YPL257W,193,False,True,31.0,48.0
407,YPL246C,262,False,True,15.0,35.0
408,YPL244C,339,False,True,6.0,25.0
409,YPL234C,164,False,True,15.0,37.0
412,YPL162C,273,False,True,13.0,34.0
415,YPL098C,113,False,True,23.0,44.0
417,YPL092W,458,False,True,15.0,31.0
418,YPL057C,382,False,True,7.0,27.0
419,YPL053C,446,False,True,12.0,28.0
422,YPR026W,1211,False,True,47.0,69.0
423,YPR028W,180,False,True,39.0,55.0
424,YPR037C,196,True,False,1.0,28.0
425,YPR079W,381,True,True,1.0,24.0
426,YPR091C,770,False,True,6.0,26.0
427,YPR109W,294,False,True,31.0,48.0
428,YPR117W,2489,False,True,15.0,26.0
429,YPR138C,489,False,True,19.0,42.0
430,YPR149W,173,False,True,4.0,24.0
433,YPR198W,543,False,True,9.0,29.0
434,YPR201W,404,False,True,35.0,55.0
